Code,Description,Type,TypeLabel
14,"CFO (chief financial officer), educational institution ",19,All examples
14,"chairman/woman - health, education, social and community services and membership organizations ",19,All examples
14,"chairperson - health, education, social and community services and membership organizations ",19,All examples
14,"chairperson, arts and culture association ",19,All examples
14,"chairperson, educators association ",19,All examples
14,"chairperson, scientific association ",19,All examples
14,chancellor - education ,19,All examples
14,charitable organization director ,19,All examples
14,charitable organization executive director ,19,All examples
14,"chief executive officer (CEO) - health, education, social and community services and membership organizations ",19,All examples
14,"chief financial officer (CFO) - health, education, social and community services and membership organizations ",19,All examples
14,"chief financial officer (CFO), educational institution ",19,All examples
14,"chief operating officer - health, education, social and community services and membership organizations ",19,All examples
14,college chancellor ,19,All examples
14,college president ,19,All examples
14,community college president ,19,All examples
14,"corporate controller - health, education, social and community services and membership organizations ",19,All examples
14,"corporate controller, social services institution ",19,All examples
14,"deputy chief executive officer - health, education, social and community services and membership organizations ",19,All examples
14,"director general - health, education, social and community services and membership organizations ",19,All examples
14,"executive director - health, education, social and community services and membership organizations ",19,All examples
14,"executive director, alumni association ",19,All examples
14,"executive director, arts association ",19,All examples
14,"executive director, association ",19,All examples
14,"executive director, automobile association ",19,All examples
14,"executive director, crafts guild ",19,All examples
14,"executive director, environmental group ",19,All examples
14,"executive director, health services institution ",19,All examples
14,"executive director, hospital ",19,All examples
14,"executive director, NGO (non-governmental organization) ",19,All examples
14,"executive director, non-governmental organization (NGO) ",19,All examples
14,"executive director, nurse's association ",19,All examples
14,"executive director, professional association ",19,All examples
14,"executive director, recreational association ",19,All examples
14,"executive director, teacher's federation ",19,All examples
14,"executive director, voluntary organization ",19,All examples
14,"executive director, YMCA ",19,All examples
14,"executive general manager - health, education, social and community services and membership organizations ",19,All examples
14,"executive vice-president - health, education, social and community services and membership organizations ",19,All examples
14,"finance and administration vice-president - health, education, social and community services and membership organizations ",19,All examples
14,"finance vice-president - health, education, social and community services and membership organizations ",19,All examples
14,"general manager - health, education, social and community services and membership organizations ",19,All examples
14,"general manager, membership organization ",19,All examples
14,hockey association general manager ,19,All examples
14,hospital administrator ,19,All examples
14,hospital executive director ,19,All examples
14,"human resources and organizational development vice-president - health, education, social and community services and membership organizations ",19,All examples
14,"human resources vice-president - health, education, social and community services and membership organizations ",19,All examples
14,"information systems vice-president - health, education, social and community services and membership organizations ",19,All examples
14,labour organization president ,19,All examples
14,"lobby chief executive officer - health, education, social and community services and membership organizations ",19,All examples
14,"marketing vice-president - health, education, social and community services and membership organizations ",19,All examples
14,medical vice-president - health services ,19,All examples
14,"nursing vice-president - health, education, social and community services and membership organizations ",19,All examples
14,"operations vice-president - health, education, social and community services and membership organizations ",19,All examples
14,"personnel vice-president - health, education, social and community services and membership organizations ",19,All examples
14,"planning vice-president - health, education, social and community services and membership organizations ",19,All examples
14,political organization general manager ,19,All examples
14,political party president ,19,All examples
14,"president - health, education, social and community services and membership organizations ",19,All examples
14,"president and general manager - health, education, social and community services and membership organizations ",19,All examples
14,"president, academic association ",19,All examples
14,"president, business association ",19,All examples
14,"president, cultural association ",19,All examples
14,"president, ethnic association ",19,All examples
14,"president, health care association ",19,All examples
14,"president, labour organization ",19,All examples
14,"president, music guild ",19,All examples
14,"president, political party ",19,All examples
14,"president, sports association ",19,All examples
14,rector - education ,19,All examples
14,"regional vice-president - health, education, social and community services and membership organizations ",19,All examples
14,scientific association chairperson ,19,All examples
14,"support services vice-president - health, education, social and community services and membership organizations ",19,All examples
14,trade school general manager ,19,All examples
14,union association president ,19,All examples
14,university president ,19,All examples
14,"vice-president - health, education, social and community services and membership organizations ",19,All examples
14,Related middle managers are classified in the following unit groups: ,50,Exclusion(s)
14,  Administrators - post-secondary education and vocational training (0421),50,Exclusion(s)
14,  Government managers - education policy development and program administration (0413),50,Exclusion(s)
14,  Government managers - health and social policy development and program administration (0411),50,Exclusion(s)
14,  Managers in health care (0311),50,Exclusion(s)
14,"  Managers in social, community and correctional services (0423)",50,Exclusion(s)
14,  Other managers in public administration (0414),50,Exclusion(s)
14,  School principals and administrators of elementary and secondary education (0422),50,Exclusion(s)
14,Senior managers in this unit group perform some or all of the following duties: ,60,Main duties
14,Establish objectives for the organization or institution and formulate or approve policies and programs ,60,Main duties
14,Authorize and organize the establishment of major departments and associated senior staff positions ,60,Main duties
14,"Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall personnel planning ",60,Main duties
14,"Select middle managers, directors or other executive staff ",60,Main duties
14,"Co-ordinate the work of regions, divisions or departments ",60,Main duties
14,"Represent the organization, or delegate representatives to act on behalf of the organization, in negotiations or other official functions. ",60,Main duties
14,"Senior managers in this unit group may specialize in areas such as finance, marketing, human resources or in a particular service area. ",60,Main duties
14, ,60,Main duties
14, ,60,Main duties
14, ,60,Main duties
14, ,60,Main duties
14, ,60,Main duties
14, ,60,Main duties
14, ,60,Main duties
14, ,60,Main duties
14,"A university degree or college diploma in business administration, hospital administration, finance or other discipline related to the service provided is usually required. ",70,Employment requirements
14,Several years of experience as a middle manager in a related institution or organization are usually required. ,70,Employment requirements
14,Specialization in a particular functional area or service is possible through specific university or college training in that area or through previous experience. ,70,Employment requirements
14,Senior managers in finance usually require a professional accounting designation. ,70,Employment requirements
14,There is mobility among senior management occupations. ,80,Additional information
15,"chief executive officer (CEO), travel agency ",10,Illustrative example(s)
15,"chief financial officer (CFO), professional sports club ",10,Illustrative example(s)
15,"corporate controller, restaurant chain ",10,Illustrative example(s)
15,"general manager, cleaning service ",10,Illustrative example(s)
15,"president, department store ",10,Illustrative example(s)
15,"regional vice-president, hotel chain ",10,Illustrative example(s)
15,"vice-president, engineering - television broadcasting services ",10,Illustrative example(s)
15,"vice-president, finance - food wholesaling ",10,Illustrative example(s)
15,"vice-president, marketing - grocery store chain ",10,Illustrative example(s)
15,"vice-president, operations - radio broadcasting services ",10,Illustrative example(s)
15, ,19,All examples
15,broadcasting corporation president ,19,All examples
15,casino general manager ,19,All examples
15,"CEO (chief executive officer) - trade, broadcasting and other services ",19,All examples
15,"CEO (chief executive officer), deputy - trade, broadcasting and other services ",19,All examples
15,"CEO (chief executive officer), travel agency ",19,All examples
15,"CFO (chief financial officer) - trade, broadcasting and other services ",19,All examples
15,"CFO (chief financial officer), professional sports club ",19,All examples
15,"chairman/woman - trade, broadcasting and other services ",19,All examples
15,"chairperson - trade, broadcasting and other services ",19,All examples
15,"chief executive officer (CEO) - trade, broadcasting and other services ",19,All examples
15,"chief executive officer (CEO), deputy - trade, broadcasting and other services ",19,All examples
15,"chief executive officer (CEO), travel agency ",19,All examples
15,"chief financial officer (CFO) - trade, broadcasting and other services ",19,All examples
15,"chief financial officer (CFO), professional sports club ",19,All examples
15,"chief operating officer - trade, broadcasting and other services ",19,All examples
15,cleaning service general manager ,19,All examples
15,"corporate controller - trade, broadcasting and other services ",19,All examples
15,"corporate controller, restaurant chain ",19,All examples
15,department store president ,19,All examples
15,"deputy chief executive officer (CEO) - trade, broadcasting and other services ",19,All examples
15,engineering vice-president - television broadcasting services ,19,All examples
15,"engineering vice-president - trade, broadcasting and other services ",19,All examples
15,"executive director - trade, broadcasting and other services ",19,All examples
15,executive vice-president - metal and metal products wholesaler ,19,All examples
15,"executive vice-president - trade, broadcasting and other services ",19,All examples
