NocCode,Occupation,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
8260,Fishing vessel masters and fishermen/women,11300,10800,10300,9900,9600,9300,9100,8800,8600,8500,8400
8410,Mine service workers and operatorsin oil and gas drilling,17300,15900,16000,16300,16600,16700,16900,17100,17200,17400,17500
8420,Logging and forestry workers,11300,11500,11800,11900,11900,12000,11900,11900,11800,11800,11700
8431,General farm workers,76400,76200,76200,76200,76100,75900,75600,75300,74900,74500,74200
8432,Nursery and greenhouse workers,17100,17000,17100,17100,17100,17100,17100,17000,17000,16900,16900
8440,Other workers in fishing and trapping and hunting occupations,3500,3300,3300,3200,3200,3100,3100,3000,3000,2900,2800
8611,Harvesting labourers; Aquaculture and marine harvest labourers & Logging and forestry labourers,11500,11500,11300,11300,11200,11100,11000,11000,11000,10900,10900
8612,Landscaping and grounds maintenance labourers,72500,73000,73800,74600,75500,76200,76700,77300,78000,78600,79300
8614,"Mine labourers & Oil and gas drilling, servicing and related labourers",13700,13100,13200,13300,13400,13400,13400,13500,13500,13500,13500
9211,"Supervisors, mineral and metal processing & Supervisors, petroleum, gas and chemical processing and utilities",30400,30700,31000,31400,31700,32000,32200,32500,32800,33000,33300
9213,"Supervisors, food, beverage and related products processing",19700,19900,20200,20400,20600,20700,20800,21000,21000,21100,21200
9214,"Supervisors, plastic and rubber products manufacturing; Supervisors, forest products processing & Supervisors, textile, fabric, fur and leather products processing and manufacturing",27000,27500,28100,28400,28700,28800,28800,28900,29000,29000,29000
9220,"Supervisors, assembly and fabrication",59500,59800,60500,60800,61200,61400,61500,61700,61800,62000,62100
9230,Central control and process operatorsin processing and manufacturing,14000,14000,14200,14300,14500,14500,14600,14700,14700,14700,14800
9240,Utilities equipment operators and controllers,37300,37500,37800,38200,38500,38700,38900,39100,39300,39500,39700
9410,machine operators and related workers in mineral and metal products pr,97200,97800,98600,99400,100200,100700,101100,101500,102000,102600,103100
9420,"machine operators and related workers in chemical, plastic and rubber",41700,41900,42700,43200,43600,43800,44000,44200,44300,44400,44600
