NocCode,Occupation,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
6211,Retail sales supervisors,2400,2600,2700,2800,2900,2900,3100,3100,3200,3300,3400
6221,Technical sales specialists - wholesale trade,2200,2300,2300,2500,2600,2600,2800,2900,2900,3000,3100
6222,Retail and wholesale buyers,700,700,700,700,700,700,700,700,700,700,700
6231,Insurance agents and brokers,1500,1600,1700,1700,1700,1700,1700,1700,1800,1800,1800
6232,Real estate agents and salespersons,2100,2100,2100,2200,2200,2200,2200,2300,2300,2300,2300
6235,Financial sales representatives,1300,1300,1300,1300,1400,1400,1500,1500,1500,1500,1500
6311,Food service supervisors,800,900,1000,1000,1000,1100,1100,1200,1200,1200,1300
6312,"Executive housekeepers & Accommodation, travel, tourism and related services supervisors; Customer and information services supervisors; Cleaning supervisors; Other services supervisors",1800,1900,2000,2000,2100,2200,2200,2300,2300,2300,2400
6321,Chefs,600,600,700,800,800,800,900,900,900,1000,1000
6322,Cooks,2000,2100,2300,2300,2400,2500,2600,2600,2600,2700,2700
6331,"Butchers, meat cutters and fishmongers - retail and wholesale",700,700,700,700,800,800,800,800,900,900,900
6332,Bakers,600,600,600,700,700,700,800,800,800,800,800
6341,Hairstylists and barbers,1100,1100,1200,1200,1200,1200,1200,1200,1200,1300,1400
6342,"Tailors, dressmakers, furriers and milliners & Shoe repairers and shoemakers; Jewellers, jewellery and watch repairers and related occupations; Upholsterers; Funeral directors and embalmers",1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
6411,Sales and account representatives - wholesale trade (non-technical),4100,4200,4400,4600,4700,4900,4900,5100,5200,5300,5400
6421,Retail salespersons,7600,7600,7900,8100,8100,8200,8300,8300,8400,8400,8500
6511,Maîtres d'hôtel and hosts/hostesses,200,200,200,300,300,300,300,300,300,400,400
6512,Bartenders,200,200,200,200,200,200,200,200,200,200,200
6513,Food and beverage servers,900,900,1000,1000,1100,1100,1200,1200,1300,1300,1400
6521,Travel counsellors,300,300,300,300,300,300,300,300,300,300,300
6522,Pursers and flight attendants,100,100,100,100,100,100,100,100,100,100,200
6523,"Airline ticket and service agents & Ground and water transport ticket agents, cargo service representatives and related clerks",200,200,200,200,200,200,200,200,200,200,200
6525,Hotel front desk clerks,300,300,300,300,400,400,400,400,400,400,400
6530,Tourism and amusement services occupations,200,200,200,200,200,200,200,300,300,300,300
6541,Security guards and related security service occupations,2600,2600,2600,2600,2600,2600,2500,2500,2500,2500,2500
6551,Customer services representatives - financial institutions,2300,2400,2500,2600,2600,2700,2800,2700,2700,2700,2700
6552,Other customer and information services representatives,2800,2800,2900,3000,3100,3100,3100,3100,3100,3200,3200
6561,"Image, social and other personal consultants; Pet groomers and animal care workers & Other personal service occupations",300,300,400,400,400,400,400,500,500,500,500
6562,"Estheticians, electrologists and related occupations",400,400,400,500,500,500,500,600,600,600,600
