Title,NOC4,Statistics,Average
Machining tool operators [9417] ,9417,Average offered hourly wage (dollars) (5),17.45
"Nurse aides, orderlies and patient service associates [3413] ",3413,Average offered hourly wage (dollars) (5),17.55
Lumber graders and other wood processing inspectors and graders [9436] ,9436,Average offered hourly wage (dollars) (5),17.575
Residential and commercial installers and servicers [7441] ,7441,Average offered hourly wage (dollars) (5),17.6125
Boat and cable ferry operators and related occupations [7533] ,7533,Average offered hourly wage (dollars) (5),17.7
Other medical technologists and technicians (except dental health) [3219] ,3219,Average offered hourly wage (dollars) (5),17.7375
Musicians and singers [5133] ,5133,Average offered hourly wage (dollars) (5),17.775
"Concrete, clay and stone forming operators [9414] ",9414,Average offered hourly wage (dollars) (5),17.78333333
Other wood processing machine operators [9434] ,9434,Average offered hourly wage (dollars) (5),17.825
Public works and maintenance labourers [7621] ,7621,Average offered hourly wage (dollars) (5),17.825
Cabinetmakers [7272] ,7272,Average offered hourly wage (dollars) (5),17.9375
"Dental technologists, technicians and laboratory assistants [3223] ",3223,Average offered hourly wage (dollars) (5),18.0125
"Inspectors and testers, mineral and metal processing [9415] ",9415,Average offered hourly wage (dollars) (5),18.05
Landscape and horticulture technicians and specialists [2225] ,2225,Average offered hourly wage (dollars) (5),18.05
Accounting and related clerks [1431] ,1431,Average offered hourly wage (dollars) (5),18.1375
Social and community service workers [4212] ,4212,Average offered hourly wage (dollars) (5),18.1625
Floor covering installers [7295] ,7295,Average offered hourly wage (dollars) (5),18.175
Appliance servicers and repairers [7332] ,7332,Average offered hourly wage (dollars) (5),18.2
Other small engine and small equipment repairers [7335] ,7335,Average offered hourly wage (dollars) (5),18.25
Dispatchers [1525] ,1525,Average offered hourly wage (dollars) (5),18.2625
"Assemblers, fabricators and inspectors, industrial electrical motors and transformers [9525] ",9525,Average offered hourly wage (dollars) (5),18.325
Other assisting occupations in support of health services [3414] ,3414,Average offered hourly wage (dollars) (5),18.35
Opticians [3231] ,3231,Average offered hourly wage (dollars) (5),18.43333333
Aircraft assemblers and aircraft assembly inspectors [9521] ,9521,Average offered hourly wage (dollars) (5),18.55
Library assistants and clerks [1451] ,1451,Average offered hourly wage (dollars) (5),18.5875
Medical administrative assistants [1243] ,1243,Average offered hourly wage (dollars) (5),18.6
Conference and event planners [1226] ,1226,Average offered hourly wage (dollars) (5),18.675
"Customs, ship and other brokers [1315] ",1315,Average offered hourly wage (dollars) (5),18.73333333
Chemical plant machine operators [9421] ,9421,Average offered hourly wage (dollars) (5),18.7625
Administrative assistants [1241] ,1241,Average offered hourly wage (dollars) (5),18.8375
Construction trades helpers and labourers [7611] ,7611,Average offered hourly wage (dollars) (5),18.8375
Executive housekeepers [6312] ,6312,Average offered hourly wage (dollars) (5),18.85
"Machine operators, mineral and metal processing [9411] ",9411,Average offered hourly wage (dollars) (5),18.9
"Testers and graders, food and beverage processing [9465] ",9465,Average offered hourly wage (dollars) (5),18.9
"Banking, insurance and other financial clerks [1434] ",1434,Average offered hourly wage (dollars) (5),19.35
Public works maintenance equipment operators and related workers [7522] ,7522,Average offered hourly wage (dollars) (5),19.375
Interior designers and interior decorators [5242] ,5242,Average offered hourly wage (dollars) (5),19.4125
Electronic service technicians (household and business equipment) [2242] ,2242,Average offered hourly wage (dollars) (5),19.55
"Supervisors, printing and related occupations [7303] ",7303,Average offered hourly wage (dollars) (5),19.55
Telecommunications installation and repair workers [7246] ,7246,Average offered hourly wage (dollars) (5),19.6125
"Support occupations in motion pictures, broadcasting, photography and the performing arts [5227] ",5227,Average offered hourly wage (dollars) (5),19.65
Printing press operators [7381] ,7381,Average offered hourly wage (dollars) (5),19.7125
Sales and account representatives - wholesale trade (non-technical) [6411] ,6411,Average offered hourly wage (dollars) (5),19.7125
Sawmill machine operators [9431] ,9431,Average offered hourly wage (dollars) (5),19.75
Dental assistants [3411] ,3411,Average offered hourly wage (dollars) (5),19.825
Accounting technicians and bookkeepers [1311] ,1311,Average offered hourly wage (dollars) (5),19.8375
Elementary and secondary school teacher assistants [4413] ,4413,Average offered hourly wage (dollars) (5),19.8625
Machinists and machining and tooling inspectors [7231] ,7231,Average offered hourly wage (dollars) (5),19.875
Personnel clerks [1415] ,1415,Average offered hourly wage (dollars) (5),19.9
Silviculture and forestry workers [8422] ,8422,Average offered hourly wage (dollars) (5),20.075
Biological technologists and technicians [2221] ,2221,Average offered hourly wage (dollars) (5),20.1
"Supervisors, textile, fabric, fur and leather products processing and manufacturing [9217] ",9217,Average offered hourly wage (dollars) (5),20.1
Announcers and other broadcasters [5231] ,5231,Average offered hourly wage (dollars) (5),20.15
Accommodation service managers [0632] ,632,Average offered hourly wage (dollars) (5),20.4125
